id_editora (int)	nome (String)	endereco (String)	telefone (String)
18	Editora Altabooks	ALAMEDA HUMORISTA FERNANDA SANTANA ARAGAO, 6448,  RIO DE JANEIRO	5543-1605
19	Editora Google	AVENIDA RADIALISTA VITOR GABRIEL OLIVEIRA, 6252,  RIO DE JANEIRO	2668-1319
20	Editora Kemps	AVENIDA DOUTOR BETINA DE SOUSA, 7489,  SAO PAULO	3399-1500
21	Editora Orleans	ALAMEDA MINISTRO CARLOS EDUARDO TEIXEIRA ALMEIDA, 7219,  CURITIBA	3393-1294
22	Editora Casual	AVENIDA JURISTA KAMILLY DE OLIVEIRA, 7085,  SAO PAULO	2668-1383
23	Editora Permanente	ALAMEDA MINISTRO LUNA CAVALCANTE DO NASCIMENTO, 3743,  SAO PAULO	3393-1310
24	Editora Livros Didáticos	ALAMEDA ANA CAROLINA ARAUJO MOTA, 9694,  SAO PAULO	2492-1504
25	Editora Folha de São Paulo	ALAMEDA BRUNO RIBEIRO PINHEIRO, 8074,  PORTO ALEGRE	2493-1274
26	Editora Visual	ALAMEDA DOUTOR HENRIQUE VELOSO, 8054,  RIO DE JANEIRO	3993-1475
27	Editora Ervilha	ESTRADA DOUTOR THALES LOPES MARCONDES, 671,  SALVADOR	3399-1528
28	Editora Rossio	AVENIDA RADIALISTA LARISSA GOMES BARBOSA, 322,  SAO PAULO	97689-1591
29	Editora Pacheca	AVENIDA MINISTRO MARIA CECILIA CHANELLE, 1995,  SAO PAULO	2494-1462
30	Editora Freijó	RUA JUAN SILVA SANTANA, 3441,  JOAO PESSOA	5543-1256
