id_editora (int)	nome (String)	endereco (String)	telefone (String)
5	Editora Risada	ALAMEDA ENZO MONTORIL REINALDO, 6035,  SAO PAULO	99981-1436
6	Editora Universitária	ESTRADA CALEBE DE LIMA OLIVEIRA, 1836, RIO DE JANEIRO	99623-1499
7	Editora das Aventuras Maravilhosas	RUA MINISTRA MIRELLA DE SOUSA, 8043,  SAO PAULO	2493-1393
8	Editora Imaginativa	RUA DOUTOR ARTHUR AYRES, 8801,  BRASILIA	3993-1302
9	Editora Sem Rumo	RUA CAIO BARBOSA ARAGAO, 4642,  VILA VELHA	3393-1500
10	Editora FPD	ESTRADA PRESIDENTE ANA LIVIA BARBOSA, 6353,  SAO PAULO	2492-1630
11	Editora Saraiva	RUA DOUTOR PIETRO CAVALCANTE, 4306,  CAMPINAS	3393-1649
12	Editora Sextante	RUA ALICE SOARES RODRIGUES, 1010,  NOVA IGUACU	99623-1368
13	Editora Elsevier	ESTRADA ANA BEATRIZ DA SILVEIRA, 6139,  SAO PAULO	5543-1527
14	Editora Bookman	ALAMEDA LUNA ARAGAO, 9828,  RIO DE JANEIRO	3399-1613
15	Editora Wiley	ALAMEDA PRESIDENTE ANA SOPHIA DOS SANTOS DA CUNHA, 1782,  SALVADOR	3393-1596
16	Editora Oryllei	RUA RADIALISTA IAGO ARAUJO, 7363,  CURITIBA	2668-1600
17	Editora Manning	ESTRADA RADIALISTA ALEXANDRE ARAGAO, 3260,  BELEM	2494-1331
